p0p50;1820;0.14
p0p50;1821;
p0p50;1822;
p0p50;1823;
p0p50;1824;
p0p50;1825;
p0p50;1826;
p0p50;1827;
p0p50;1828;
p0p50;1829;
p0p50;1830;
p0p50;1831;
p0p50;1832;
p0p50;1833;
p0p50;1834;
p0p50;1835;
p0p50;1836;
p0p50;1837;
p0p50;1838;
p0p50;1839;
p0p50;1840;
p0p50;1841;
p0p50;1842;
p0p50;1843;
p0p50;1844;
p0p50;1845;
p0p50;1846;
p0p50;1847;
p0p50;1848;
p0p50;1849;
p0p50;1850;0.11
p0p50;1851;
p0p50;1852;
p0p50;1853;
p0p50;1854;
p0p50;1855;
p0p50;1856;
p0p50;1857;
p0p50;1858;
p0p50;1859;
p0p50;1860;
p0p50;1861;
p0p50;1862;
p0p50;1863;
p0p50;1864;
p0p50;1865;
p0p50;1866;
p0p50;1867;
p0p50;1868;
p0p50;1869;
p0p50;1870;
p0p50;1871;
p0p50;1872;
p0p50;1873;
p0p50;1874;
p0p50;1875;
p0p50;1876;
p0p50;1877;
p0p50;1878;
p0p50;1879;
p0p50;1880;0.1504
p0p50;1881;
p0p50;1882;
p0p50;1883;
p0p50;1884;
p0p50;1885;
p0p50;1886;
p0p50;1887;
p0p50;1888;
p0p50;1889;
p0p50;1890;
p0p50;1891;
p0p50;1892;
p0p50;1893;
p0p50;1894;
p0p50;1895;
p0p50;1896;
p0p50;1897;
p0p50;1898;
p0p50;1899;
p0p50;1900;0.1453
p0p50;1901;
p0p50;1902;
p0p50;1903;
p0p50;1904;
p0p50;1905;
p0p50;1906;
p0p50;1907;
p0p50;1908;
p0p50;1909;
p0p50;1910;0.151
p0p50;1911;
p0p50;1912;
p0p50;1913;0.151
p0p50;1914;0.1491
p0p50;1915;0.1513
p0p50;1916;0.1473
p0p50;1917;0.1461
p0p50;1918;0.1476
p0p50;1919;0.1437
p0p50;1920;0.1482
p0p50;1921;0.1383
p0p50;1922;0.142
p0p50;1923;0.1488
p0p50;1924;0.1414
p0p50;1925;0.1373
p0p50;1926;0.1356
p0p50;1927;0.1378
p0p50;1928;0.135
p0p50;1929;0.1382
p0p50;1930;0.1389
p0p50;1931;0.1382
p0p50;1932;0.1322
p0p50;1933;0.1329
p0p50;1934;0.1317
p0p50;1935;0.1382
p0p50;1936;0.1388
p0p50;1937;0.1409
p0p50;1938;0.142
p0p50;1939;0.138
p0p50;1940;0.139
p0p50;1941;0.1451
p0p50;1942;0.1768
p0p50;1943;0.1879
p0p50;1944;0.1967
p0p50;1945;0.1582
p0p50;1946;0.1712
p0p50;1947;0.1729
p0p50;1948;0.1739
p0p50;1949;0.171
p0p50;1950;0.1754
p0p50;1951;0.1838
p0p50;1952;0.1896
p0p50;1953;0.1931
p0p50;1954;0.1861
p0p50;1955;0.1877
p0p50;1956;0.1928
p0p50;1957;0.1921
p0p50;1958;0.1842
p0p50;1959;0.1818
p0p50;1960;0.1822
p0p50;1961;0.1772
p0p50;1962;0.1932
p0p50;1963;0.1894
p0p50;1964;0.1858
p0p50;1965;0.1903
p0p50;1966;0.1948
p0p50;1967;0.2073
p0p50;1968;0.2061
p0p50;1969;0.2124
p0p50;1970;0.2112
p0p50;1971;0.2044
p0p50;1972;0.2024
p0p50;1973;0.2043
p0p50;1974;0.21
p0p50;1975;0.2041
p0p50;1976;0.2053
p0p50;1977;0.2027
p0p50;1978;0.2024
p0p50;1979;0.2034
p0p50;1980;0.2008
p0p50;1981;0.1969
p0p50;1982;0.1916
p0p50;1983;0.1832
p0p50;1984;0.1796
p0p50;1985;0.1782
p0p50;1986;0.1761
p0p50;1987;0.1736
p0p50;1988;0.1687
p0p50;1989;0.1698
p0p50;1990;0.1685
p0p50;1991;0.1671
p0p50;1992;0.16
p0p50;1993;0.1611
p0p50;1994;0.1617
p0p50;1995;0.1574
p0p50;1996;0.1547
p0p50;1997;0.1524
p0p50;1998;0.1528
p0p50;1999;0.1514
p0p50;2000;0.1506
p0p50;2001;0.1531
p0p50;2002;0.154
p0p50;2003;0.1509
p0p50;2004;0.1478
p0p50;2005;0.1432
p0p50;2006;0.1408
p0p50;2007;0.1431
p0p50;2008;0.1429
p0p50;2009;0.1425
p0p50;2010;0.1387
p0p50;2011;0.1356
p0p50;2012;0.1315
p0p50;2013;0.1345
p0p50;2014;0.1314
p0p50;2015;0.1321
p0p50;2016;0.1295
p0p50;2017;0.1348
p0p50;2018;0.1334
p0p50;2019;0.1358
p0p50;2020;0.137
p0p50;2021;0.1346
p0p50;2022;0.1334
p0p50;2023;0.1344
p99p100;1820;0.16
p99p100;1821;
p99p100;1822;
p99p100;1823;
p99p100;1824;
p99p100;1825;
p99p100;1826;
p99p100;1827;
p99p100;1828;
p99p100;1829;
p99p100;1830;
p99p100;1831;
p99p100;1832;
p99p100;1833;
p99p100;1834;
p99p100;1835;
p99p100;1836;
p99p100;1837;
p99p100;1838;
p99p100;1839;
p99p100;1840;
p99p100;1841;
p99p100;1842;
p99p100;1843;
p99p100;1844;
p99p100;1845;
p99p100;1846;
p99p100;1847;
p99p100;1848;
p99p100;1849;
p99p100;1850;0.17
p99p100;1851;
p99p100;1852;
p99p100;1853;
p99p100;1854;
p99p100;1855;
p99p100;1856;
p99p100;1857;
p99p100;1858;
p99p100;1859;
p99p100;1860;
p99p100;1861;
p99p100;1862;
p99p100;1863;
p99p100;1864;
p99p100;1865;
p99p100;1866;
p99p100;1867;
p99p100;1868;
p99p100;1869;
p99p100;1870;
p99p100;1871;
p99p100;1872;
p99p100;1873;
p99p100;1874;
p99p100;1875;
p99p100;1876;
p99p100;1877;
p99p100;1878;
p99p100;1879;
p99p100;1880;0.117
p99p100;1881;
p99p100;1882;
p99p100;1883;
p99p100;1884;
p99p100;1885;
p99p100;1886;
p99p100;1887;
p99p100;1888;
p99p100;1889;
p99p100;1890;
p99p100;1891;
p99p100;1892;
p99p100;1893;
p99p100;1894;
p99p100;1895;
p99p100;1896;
p99p100;1897;
p99p100;1898;
p99p100;1899;
p99p100;1900;0.155
p99p100;1901;
p99p100;1902;
p99p100;1903;
p99p100;1904;
p99p100;1905;
p99p100;1906;
p99p100;1907;
p99p100;1908;
p99p100;1909;
p99p100;1910;0.2043
p99p100;1911;
p99p100;1912;
p99p100;1913;0.2043
p99p100;1914;0.2091
p99p100;1915;0.2029
p99p100;1916;0.2136
p99p100;1917;0.2131
p99p100;1918;0.1968
p99p100;1919;0.2164
p99p100;1920;0.1913
p99p100;1921;0.1915
p99p100;1922;0.1858
p99p100;1923;0.177
p99p100;1924;0.1847
p99p100;1925;0.2068
p99p100;1926;0.2194
p99p100;1927;0.2126
p99p100;1928;0.2229
p99p100;1929;0.2218
p99p100;1930;0.194
p99p100;1931;0.1676
p99p100;1932;0.1651
p99p100;1933;0.1751
p99p100;1934;0.1906
p99p100;1935;0.1933
p99p100;1936;0.2094
p99p100;1937;0.2067
p99p100;1938;0.1864
p99p100;1939;0.1957
p99p100;1940;0.2087
p99p100;1941;0.2158
p99p100;1942;0.2059
p99p100;1943;0.1859
p99p100;1944;0.1535
p99p100;1945;0.1425
p99p100;1946;0.1428
p99p100;1947;0.1497
p99p100;1948;0.1631
p99p100;1949;0.1572
p99p100;1950;0.1669
p99p100;1951;0.16
p99p100;1952;0.1497
p99p100;1953;0.1401
p99p100;1954;0.1395
p99p100;1955;0.1461
p99p100;1956;0.1384
p99p100;1957;0.1353
p99p100;1958;0.1268
p99p100;1959;0.1321
p99p100;1960;0.1267
p99p100;1961;0.1253
p99p100;1962;0.1284
p99p100;1963;0.1298
p99p100;1964;0.1311
p99p100;1965;0.1303
p99p100;1966;0.1297
p99p100;1967;0.1237
p99p100;1968;0.1261
p99p100;1969;0.116
p99p100;1970;0.107
p99p100;1971;0.1105
p99p100;1972;0.1108
p99p100;1973;0.1088
p99p100;1974;0.1037
p99p100;1975;0.1043
p99p100;1976;0.1036
p99p100;1977;0.1058
p99p100;1978;0.1035
p99p100;1979;0.1086
p99p100;1980;0.1042
p99p100;1981;0.1067
p99p100;1982;0.1099
p99p100;1983;0.115
p99p100;1984;0.1215
p99p100;1985;0.1227
p99p100;1986;0.1198
p99p100;1987;0.1324
p99p100;1988;0.1521
p99p100;1989;0.1469
p99p100;1990;0.1471
p99p100;1991;0.1365
p99p100;1992;0.1468
p99p100;1993;0.1415
p99p100;1994;0.1402
p99p100;1995;0.1452
p99p100;1996;0.1525
p99p100;1997;0.16
p99p100;1998;0.1632
p99p100;1999;0.1676
p99p100;2000;0.1734
p99p100;2001;0.1659
